Ref,Val,Package,X,Y,Rot,Side
C1,470pF,C_0603,13.462,24.638,180,top
C2,15pf,C_0603,11.388,36.054,90,top
C3,.1uF,C_0603,8,19.25,90,top
C4,1uF,C_0603,9.017,43.18,180,top
C5,15pf,C_0603,17.138,36.054,270,top
C6,47uF,c_elec_5x5.3,21,13,90,top
C7,.1uF,C_0603,36.449,38.862,270,top
C8,.1uF,C_0603,23.25,27,0,top
C9,.1uF,C_0603,29.21,46.863,0,top
C10,100n,C_0603,17.526,47.117,0,top
C11,47uF,c_elec_5x5.3,21,4.6996,90,top
C12,10uF,c_elec_5x5.3,21,21.2954,90,top
C13,.1uF,C_0603,38.55,10.519,180,top
C14,.1uF,C_0603,40.25,29.25,0,top
D1,D,SMD_Diode-1206,15,9.017,270,top
D2,LED,LED_0603,4.7397,24.111,0,top
D3,LED,LED_0603,23.362,33.226,0,top
D4,LED,LED_0603,23.4127,35.126,0,top
F1,500m,R_1812,6.858,32.258,0,top
L1,Inductor,R_0805,3.109,27.051,0,top
P1,USB_OTG,USB_Micro-B_10118194,1.27,39.624,270,top
Q1,FDN340P,SOT-23,3,15.5,90,top
R1,10K,R_0603,8,14,270,top
R2,1K,R_0603,29.2,17.8,0,top
R3,22R,R_0603,8.8,39.7,180,top
R4,22R,R_0603,8.8,41.35,0,top
R5,10K,R_0603,11.799,45.339,0,top
R6,1K,R_0603,50.915,47.879,180,top
R7,1K,R_0603,54.864,47.879,0,top
R8,1K,R_0603,19.812,35.56,270,top
R9,10K,R_0603,40.1,31,0,top
R10,1K,R_0603,8.054,24.111,0,top
R11,1K,R_0603,26.662,33.226,180,top
R12,1K,R_0603,26.662,35.126,180,top
R13,10K,R_0603,40.259,27.432,0,top
R16,10K,R_0603,38.4,8.6,180,top
R17,10K,R_0603,38.4,6.5,0,top
R18,1M,R_0603,51.2,39.9,90,top
R19,10K,R_0603,53.594,39.878,270,top
U1,LM2940LD-5.0,SOT-223,13,18,0,top
U2,MIC5205,SOT-23-5,19.55,28.1,270,top
U3,ATMEGA16U2,QFN-32-1EP_5x5mm_Pitch0.5mm,15.6425,41.1075,90,top
U4,23K256,SOIC-8-N,30.8,24.8,0,top
U5,ATTINY85-SUR,SOIJ-8_5.3x5.3mm_Pitch1.27mm,42.6,21.4,0,top
U6,TS3A44159,QFN-16-1EP_3x3mm_Pitch0.5mm,45.325,29.55,180,top
U7,ATMEGA328PB-MU,QFN-32-1EP_5x5mm_Pitch0.5mm,40.878,38.355,180,top
U8,74LVCH1T45,MSOP-8_3x3mm_Pitch0.65mm,32.8,34.775,180,top
U9,ATTINY85-SUR,SOIJ-8_5.3x5.3mm_Pitch1.27mm,45.65,8.435,0,top
U10,TS3A44159,QFN-16-1EP_3x3mm_Pitch0.5mm,45.6,14.8,0,top
U11,FDG6331L,SC-70-6,32.7498,17.35,0,top
VR1,VR,R_0603,6.75,36.85,270,top
VR2,VR,R_0603,8.9,36.85,270,top
